IOPS	F2FS(N.E.)	F2FS(.mp4)	M_F2FS(N.E.)	M_F2FS(.mp4)
1	83060.63221	90154.47993	82347.71541	87550.5758
2	59565.73592	74063.48695	62620.10304	75624.76123
3	36608.77132	42211.32967	55113.06176	65050.52447
4	22564.0019	24706.64848	36625.46762	38411.87685
5	22416.54331	23289.36667	35619.85153	38858.29588
6	22477.28406	24449.84905	38215.24953	40245.31922
7	21772.42985	23264.06493	36424.53208	39941.51277
8	17949.70083	17661.39199	32445.64002	35191.62826
9	16217.58355	16379.54664	26762.84683	29962.41396
10	16091.23637	16577.00411	24551.74964	26641.81582
11	16482.73941	16584.42446	25917.39985	27804.39975
12	16266.79101	16802.53368	26404.40444	29293.28037
13	16000.1791	16838.38529	26584.81745	27888.11022
14	15906.9775	16654.80877	25112.60431	28111.92784
15	15659.67059	16777.58272	24449.15402	27333.91026
