IOPS	F2FS(.mp4)	M_F2FS(cold)	M_F2FS(.mp4)
1	89111.08646	82347.71541	87317.48058
2	74906.07666	62620.10304	75324.81917
3	42179.03922	55113.06176	65290.75281
4	24880.01424	36625.46762	38539.87857
5	23155.96329	35619.85153	38895.63246
6	23679.18769	38215.24953	40501.73414
7	23218.14358	36424.53208	43492.48682
8	17394.56685	32445.64002	38188.57207
9	16769.68783	26762.84683	28917.34446
10	16804.36943	24551.74964	26181.17937
11	16847.19933	25917.39985	27467.25865
12	16587.56795	26404.40444	27413.32208
13	-	26584.81745	29614.72591
14	-	25112.60431	27505.34292
15	-	24449.15402	26353.30099
16	-	24775.20778	27323.84925
17	-	24396.84331	26675.55959
18	-	24585.08016	28199.21579
19	-	25466.55312	27967.21961
20	-	24504.88651	28008.08239
21	-	24286.31721	28171.81198
22	-	25001.76366	27152.5434
23	-	24538.74301	27286.08759
24	-	24241.42802	26448.65151
25	-	24633.85305	27091.61898
26	-	24578.67888	28273.36384
27	-	24472.82514	27803.57592
28	-	24217.42806	27497.88144
29	-	24701.73881	26964.59938
30	-	24081.80531	28219.35275

